epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.617,1.56692,1.71273,0.99778,0.31578,0.25584,0.23484,0.13371,1.43841,1.20644,0.94282,0.000237412,0.000237412,0.000237412
2,202.731,1.4819,1.20127,0.95357,0.35203,0.26007,0.24314,0.13918,1.44636,1.16395,0.94912,0.000469529,0.000469529,0.000469529
3,302.008,1.46289,1.16287,0.95032,0.37129,0.293,0.27082,0.15552,1.4192,1.09617,0.93681,0.000695755,0.000695755,0.000695755
4,400.1,1.44808,1.12975,0.94247,0.38831,0.30106,0.28308,0.16423,1.3831,1.07575,0.92534,0.000687493,0.000687493,0.000687493
5,497.727,1.42573,1.09144,0.93769,0.41345,0.30649,0.30038,0.1724,1.37486,1.03752,0.92267,0.000678657,0.000678657,0.000678657
6,595.826,1.41427,1.07162,0.93394,0.40329,0.31063,0.30033,0.17352,1.36562,1.03144,0.92135,0.000669821,0.000669821,0.000669821
7,693.6,1.39848,1.04983,0.93103,0.41383,0.31631,0.30878,0.17842,1.35693,1.03145,0.91825,0.000660986,0.000660986,0.000660986
8,791.283,1.38232,1.0316,0.92529,0.41017,0.33462,0.32186,0.1863,1.34984,1.01127,0.91974,0.00065215,0.00065215,0.00065215
9,27442.7,1.37817,1.02191,0.92414,0.44806,0.32232,0.32564,0.18888,1.33463,1.00297,0.9126,0.000643314,0.000643314,0.000643314
10,27541.4,1.35925,1.00312,0.92094,0.42907,0.32944,0.32738,0.1895,1.32363,1.0104,0.91161,0.000634478,0.000634478,0.000634478
11,27639.5,1.35689,0.99573,0.91939,0.45215,0.31801,0.32466,0.18859,1.32639,0.9957,0.91261,0.000625642,0.000625642,0.000625642
12,27736.8,1.34449,0.98136,0.9169,0.46099,0.32576,0.33373,0.19432,1.3206,0.98038,0.90911,0.000616807,0.000616807,0.000616807
13,27834.8,1.34659,0.97543,0.91817,0.44461,0.34326,0.34142,0.19926,1.30696,0.96793,0.90684,0.000607971,0.000607971,0.000607971
14,27932.8,1.33587,0.96039,0.91355,0.45165,0.34885,0.35031,0.20463,1.28474,0.95212,0.90205,0.000599135,0.000599135,0.000599135
15,28034,1.33974,0.95974,0.91302,0.45985,0.34558,0.35167,0.20436,1.2925,0.96559,0.90306,0.0005903,0.0005903,0.0005903
16,28132.5,1.32949,0.95078,0.90997,0.46428,0.34092,0.34672,0.20047,1.30301,0.95291,0.90411,0.000581464,0.000581464,0.000581464
17,28230.4,1.31852,0.94162,0.90921,0.46815,0.34288,0.35058,0.2054,1.29812,0.94625,0.9062,0.000572628,0.000572628,0.000572628
18,28328.8,1.3196,0.93742,0.90848,0.46924,0.35308,0.35924,0.21058,1.29228,0.94532,0.90266,0.000563792,0.000563792,0.000563792
19,28426.7,1.31126,0.92974,0.90622,0.46726,0.36038,0.3612,0.21125,1.28571,0.94076,0.89989,0.000554956,0.000554956,0.000554956
20,28525.2,1.30571,0.91789,0.90475,0.46228,0.35385,0.35477,0.20782,1.28446,0.94289,0.89977,0.000546121,0.000546121,0.000546121
21,28623.4,1.29803,0.9113,0.90347,0.47656,0.35733,0.36383,0.21411,1.27396,0.92249,0.89882,0.000537285,0.000537285,0.000537285
22,28721.7,1.30469,0.91219,0.90371,0.46334,0.36234,0.36357,0.21257,1.2791,0.92952,0.89914,0.000528449,0.000528449,0.000528449
23,28819.8,1.30174,0.91141,0.90332,0.46972,0.3679,0.36618,0.21423,1.27122,0.9285,0.89627,0.000519613,0.000519613,0.000519613
24,28917.5,1.28881,0.8991,0.90097,0.4667,0.36202,0.36829,0.21861,1.26401,0.91529,0.89584,0.000510778,0.000510778,0.000510778
25,29015.6,1.27812,0.88479,0.89947,0.48411,0.36117,0.37032,0.21851,1.26976,0.91397,0.89833,0.000501942,0.000501942,0.000501942
26,29113.5,1.2851,0.89239,0.90035,0.4925,0.36282,0.37367,0.21883,1.26616,0.91285,0.89664,0.000493106,0.000493106,0.000493106
27,29211.2,1.27684,0.8849,0.89808,0.48041,0.36769,0.37544,0.22096,1.25555,0.9095,0.89548,0.000484271,0.000484271,0.000484271
28,29308.9,1.2729,0.8754,0.89761,0.47766,0.36617,0.37455,0.22083,1.26086,0.90676,0.89512,0.000475435,0.000475435,0.000475435
29,29406.6,1.26826,0.87185,0.89604,0.49099,0.36262,0.37176,0.21728,1.2657,0.90771,0.89567,0.000466599,0.000466599,0.000466599
30,29504,1.26243,0.86387,0.89542,0.48741,0.37062,0.37986,0.22448,1.25854,0.89228,0.89404,0.000457763,0.000457763,0.000457763
