epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.05,1.56299,1.70036,0.99675,0.31749,0.2566,0.23451,0.13302,1.43662,1.20633,0.94026,0.000237412,0.000237412,0.000237412
2,393.457,1.47846,1.19731,0.95345,0.3778,0.2651,0.24888,0.14125,1.44548,1.15896,0.94885,0.000469529,0.000469529,0.000469529
3,576.553,1.4593,1.15943,0.94987,0.3669,0.28461,0.26704,0.15392,1.41738,1.09868,0.93564,0.000695755,0.000695755,0.000695755
4,728.404,1.44539,1.1257,0.94255,0.39033,0.29749,0.28963,0.16515,1.38388,1.0751,0.9268,0.000687493,0.000687493,0.000687493
5,879.747,1.42372,1.08796,0.93758,0.41811,0.29453,0.29068,0.16567,1.39213,1.0489,0.92374,0.000678657,0.000678657,0.000678657
6,1098.24,1.41032,1.06745,0.9332,0.41216,0.30986,0.30341,0.17507,1.35791,1.02847,0.92055,0.000669821,0.000669821,0.000669821
7,1249.44,1.39759,1.04944,0.93212,0.41734,0.32326,0.31526,0.18333,1.34563,1.01346,0.91331,0.000660986,0.000660986,0.000660986
8,1400.63,1.37757,1.02518,0.92495,0.4174,0.33366,0.32253,0.18585,1.34905,1.01765,0.91653,0.00065215,0.00065215,0.00065215
9,1559.43,1.37571,1.01857,0.92341,0.4276,0.33451,0.32939,0.19217,1.32936,0.99661,0.91134,0.000643314,0.000643314,0.000643314
10,2442.83,1.35791,0.99957,0.9207,0.43524,0.32552,0.3235,0.189,1.32383,1.00729,0.90882,0.000634478,0.000634478,0.000634478
11,2594.45,1.35275,0.99229,0.91926,0.43255,0.3244,0.32556,0.18881,1.32747,0.99539,0.91137,0.000625642,0.000625642,0.000625642
12,2745.31,1.34237,0.98206,0.9169,0.46032,0.33073,0.32915,0.19029,1.34052,0.98973,0.91413,0.000616807,0.000616807,0.000616807
13,2897.12,1.34488,0.97468,0.91858,0.44947,0.33852,0.34033,0.19989,1.30171,0.97717,0.90461,0.000607971,0.000607971,0.000607971
14,3049.78,1.33069,0.95544,0.91307,0.45151,0.35284,0.35265,0.2059,1.28916,0.95231,0.90266,0.000599135,0.000599135,0.000599135
15,4649.5,1.33737,0.95657,0.91342,0.44589,0.35135,0.35271,0.20561,1.29832,0.96644,0.90525,0.0005903,0.0005903,0.0005903
16,4801.05,1.32601,0.94627,0.90925,0.45161,0.34387,0.34914,0.20217,1.29188,0.95569,0.90339,0.000581464,0.000581464,0.000581464
17,4954.53,1.31597,0.93787,0.90961,0.4568,0.35041,0.35097,0.20557,1.30062,0.95301,0.90372,0.000572628,0.000572628,0.000572628
18,5110.33,1.31434,0.93234,0.9081,0.45634,0.35405,0.35518,0.20708,1.29123,0.94204,0.90213,0.000563792,0.000563792,0.000563792
19,5261.74,1.30904,0.92565,0.90636,0.45992,0.35178,0.35397,0.20623,1.28826,0.95149,0.90087,0.000554956,0.000554956,0.000554956
20,5414.02,1.30369,0.91539,0.90496,0.46234,0.35547,0.36113,0.21096,1.28221,0.93339,0.899,0.000546121,0.000546121,0.000546121
21,5568.12,1.29583,0.90679,0.90323,0.4657,0.35707,0.35741,0.21037,1.27491,0.92499,0.8996,0.000537285,0.000537285,0.000537285
22,5719.64,1.29986,0.90745,0.90311,0.45241,0.3617,0.35984,0.21273,1.27045,0.93678,0.89842,0.000528449,0.000528449,0.000528449
23,5871.32,1.29858,0.90579,0.90318,0.47878,0.36288,0.36924,0.21567,1.27263,0.91976,0.89861,0.000519613,0.000519613,0.000519613
24,6263.89,1.2847,0.89322,0.90058,0.46736,0.3599,0.36612,0.21674,1.26978,0.91572,0.89787,0.000510778,0.000510778,0.000510778
25,6416.78,1.27341,0.88094,0.89865,0.49021,0.36093,0.37046,0.22083,1.26786,0.9129,0.89804,0.000501942,0.000501942,0.000501942
26,6568.53,1.28254,0.88729,0.9005,0.49836,0.35859,0.37208,0.22061,1.26723,0.91142,0.89593,0.000493106,0.000493106,0.000493106
27,6720.05,1.27274,0.88073,0.89778,0.47652,0.36654,0.373,0.22184,1.25129,0.9078,0.89444,0.000484271,0.000484271,0.000484271
28,6873.88,1.26926,0.8704,0.89769,0.48936,0.36589,0.37659,0.22289,1.25691,0.90507,0.89576,0.000475435,0.000475435,0.000475435
29,7025.55,1.26506,0.8665,0.89654,0.48772,0.36352,0.37243,0.21901,1.26401,0.91079,0.89568,0.000466599,0.000466599,0.000466599
30,7178.62,1.25598,0.85629,0.89473,0.49208,0.36979,0.38175,0.22698,1.25283,0.89178,0.8946,0.000457763,0.000457763,0.000457763
31,7330.26,1.26083,0.8562,0.89505,0.49253,0.37217,0.37986,0.2259,1.25025,0.89571,0.89303,0.000448928,0.000448928,0.000448928
32,7481.66,1.25511,0.8529,0.89354,0.47523,0.36514,0.37363,0.222,1.25081,0.89094,0.8935,0.000440092,0.000440092,0.000440092
33,7633.04,1.25541,0.85053,0.89314,0.49419,0.3672,0.37944,0.22639,1.24888,0.89361,0.89223,0.000431256,0.000431256,0.000431256
34,7784.45,1.25055,0.84239,0.89263,0.48774,0.36951,0.37976,0.22623,1.24483,0.8945,0.89295,0.00042242,0.00042242,0.00042242
35,7935.99,1.24269,0.83888,0.89256,0.49215,0.37485,0.38472,0.22886,1.24609,0.88441,0.89164,0.000413584,0.000413584,0.000413584
36,8087.57,1.23743,0.83183,0.89021,0.50393,0.36846,0.38175,0.22754,1.23747,0.88438,0.88894,0.000404749,0.000404749,0.000404749
37,8253.58,1.23929,0.8322,0.89006,0.50452,0.36734,0.38545,0.22877,1.23762,0.87738,0.89066,0.000395913,0.000395913,0.000395913
38,8426.03,1.23293,0.82389,0.88889,0.49598,0.37033,0.38069,0.22704,1.23924,0.88117,0.89083,0.000387077,0.000387077,0.000387077
39,8577.48,1.24227,0.82714,0.88913,0.49519,0.37658,0.38436,0.22737,1.24753,0.89092,0.89368,0.000378242,0.000378242,0.000378242
40,8732.85,1.23412,0.82096,0.88971,0.49267,0.37463,0.38477,0.22849,1.23874,0.87485,0.89098,0.000369406,0.000369406,0.000369406
41,8887.27,1.22819,0.81437,0.88768,0.50177,0.38102,0.39045,0.23193,1.24122,0.87299,0.89243,0.00036057,0.00036057,0.00036057
42,9275.47,1.22379,0.81082,0.88634,0.4963,0.37905,0.38912,0.23175,1.23602,0.87304,0.89054,0.000351734,0.000351734,0.000351734
43,9426.76,1.22295,0.80871,0.88542,0.49903,0.37561,0.38872,0.23192,1.23464,0.86995,0.8903,0.000342899,0.000342899,0.000342899
44,9577.83,1.21713,0.8026,0.88437,0.4927,0.38537,0.39202,0.23452,1.23201,0.868,0.88871,0.000334063,0.000334063,0.000334063
45,9729.1,1.21399,0.79621,0.88417,0.50595,0.38366,0.39278,0.23401,1.23054,0.86589,0.88791,0.000325227,0.000325227,0.000325227
46,10122.2,1.21142,0.79297,0.88387,0.50061,0.38716,0.39265,0.23302,1.22612,0.86331,0.8882,0.000316391,0.000316391,0.000316391
47,10285.4,1.21032,0.79082,0.88388,0.50431,0.37815,0.39093,0.23248,1.23229,0.86913,0.8894,0.000307555,0.000307555,0.000307555
48,10700,1.20992,0.79013,0.8839,0.49696,0.37988,0.38954,0.23317,1.2295,0.86414,0.88858,0.00029872,0.00029872,0.00029872
49,10859.4,1.20566,0.78484,0.88306,0.50885,0.37764,0.3925,0.23441,1.22866,0.86479,0.88801,0.000289884,0.000289884,0.000289884
50,11413.6,1.20516,0.78024,0.88336,0.51252,0.38286,0.39296,0.23503,1.22156,0.86261,0.88706,0.000281048,0.000281048,0.000281048
51,11569.8,1.20509,0.78075,0.88132,0.50659,0.3849,0.39467,0.23506,1.22614,0.86184,0.88811,0.000272212,0.000272212,0.000272212
