epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.665,2.45458,2.66989,1.29335,0.35901,0.12945,0.10491,0.05338,1.80611,1.64561,1.04313,0.000237706,0.000237706,0.000237706
2,325.926,1.8077,1.67116,1.03889,0.23985,0.179,0.14602,0.07776,1.68298,1.45925,1.00144,0.000469819,0.000469819,0.000469819
3,486.306,1.70733,1.52999,1.00834,0.26497,0.21194,0.17565,0.09579,1.59942,1.34237,0.97606,0.000696042,0.000696042,0.000696042
4,646.097,1.65882,1.44326,0.99444,0.29382,0.22972,0.19992,0.11176,1.53532,1.26325,0.96294,0.000687493,0.000687493,0.000687493
5,806.068,1.61159,1.37125,0.98045,0.32717,0.24857,0.21869,0.12145,1.53572,1.25501,0.95839,0.000678657,0.000678657,0.000678657
6,966.296,1.57421,1.32033,0.97004,0.3173,0.23982,0.21977,0.12176,1.50586,1.20585,0.95275,0.000669821,0.000669821,0.000669821
7,1126.37,1.54226,1.27979,0.96402,0.35136,0.26503,0.24292,0.13724,1.46173,1.17663,0.94297,0.000660986,0.000660986,0.000660986
8,1286.64,1.52689,1.25888,0.9594,0.33974,0.27129,0.2502,0.14162,1.45855,1.15462,0.93986,0.00065215,0.00065215,0.00065215
9,1446.92,1.51375,1.23596,0.95445,0.33251,0.27488,0.24754,0.13872,1.444,1.16934,0.93626,0.000643314,0.000643314,0.000643314
10,1606.81,1.49071,1.19954,0.94931,0.34094,0.27486,0.25866,0.14552,1.42516,1.14487,0.93491,0.000634478,0.000634478,0.000634478
11,1767.01,1.48102,1.18935,0.94595,0.37854,0.28353,0.27212,0.15607,1.40654,1.10571,0.92688,0.000625642,0.000625642,0.000625642
12,1927.21,1.47313,1.17513,0.9434,0.37154,0.28566,0.27455,0.15461,1.41443,1.10006,0.92604,0.000616807,0.000616807,0.000616807
13,2087.39,1.4583,1.1536,0.9405,0.3907,0.29424,0.28247,0.16221,1.39339,1.08095,0.9222,0.000607971,0.000607971,0.000607971
14,2247.12,1.44397,1.1379,0.9378,0.38455,0.30179,0.29153,0.16655,1.38415,1.06869,0.92171,0.000599135,0.000599135,0.000599135
15,2407.04,1.43439,1.12458,0.93357,0.40435,0.30089,0.29315,0.16732,1.37945,1.06611,0.92009,0.0005903,0.0005903,0.0005903
16,2566.48,1.42006,1.1079,0.9338,0.3887,0.30121,0.29183,0.16566,1.37708,1.06961,0.91936,0.000581464,0.000581464,0.000581464
17,2726.11,1.42097,1.10873,0.93258,0.41253,0.30734,0.30471,0.17558,1.36334,1.03963,0.92143,0.000572628,0.000572628,0.000572628
18,2886.2,1.41528,1.09454,0.93095,0.40406,0.31118,0.30561,0.17781,1.34851,1.03567,0.91388,0.000563792,0.000563792,0.000563792
19,3046.58,1.41078,1.08288,0.92893,0.40019,0.32037,0.3063,0.17771,1.35149,1.02864,0.91216,0.000554956,0.000554956,0.000554956
20,3206.41,1.40007,1.07362,0.92462,0.42419,0.32179,0.317,0.18227,1.34336,1.01701,0.91185,0.000546121,0.000546121,0.000546121
21,3366.38,1.39789,1.0629,0.92313,0.41798,0.3261,0.32127,0.18674,1.33784,1.01577,0.91023,0.000537285,0.000537285,0.000537285
22,3526.48,1.38767,1.05412,0.92159,0.42688,0.31893,0.31928,0.18663,1.32928,1.00422,0.91031,0.000528449,0.000528449,0.000528449
23,3686.87,1.38344,1.05351,0.92226,0.43281,0.31981,0.31954,0.1875,1.32315,0.99739,0.90743,0.000519613,0.000519613,0.000519613
24,3847.45,1.37912,1.04302,0.92068,0.43144,0.32559,0.3204,0.18806,1.31661,1.00446,0.90638,0.000510778,0.000510778,0.000510778
25,4007.56,1.37042,1.03307,0.91967,0.42961,0.32954,0.32702,0.19129,1.32177,0.99455,0.90624,0.000501942,0.000501942,0.000501942
26,4168.05,1.37663,1.03622,0.91928,0.42802,0.31995,0.32314,0.19015,1.30825,0.99038,0.9049,0.000493106,0.000493106,0.000493106
27,4328.15,1.37188,1.02724,0.91837,0.42808,0.33221,0.33077,0.19421,1.31126,0.98668,0.90464,0.000484271,0.000484271,0.000484271
28,4488.36,1.36372,1.0109,0.9148,0.44212,0.32752,0.32934,0.1925,1.30497,0.97783,0.90318,0.000475435,0.000475435,0.000475435
29,4648.41,1.35112,1.00999,0.91457,0.42332,0.33592,0.33057,0.19379,1.29582,0.97416,0.90205,0.000466599,0.000466599,0.000466599
30,4808.63,1.35421,1.01064,0.91304,0.45236,0.33508,0.33737,0.19659,1.29846,0.97094,0.90219,0.000457763,0.000457763,0.000457763
31,4968.94,1.34857,0.99888,0.91219,0.43199,0.33988,0.33645,0.1966,1.2976,0.97026,0.90283,0.000448928,0.000448928,0.000448928
32,5128.89,1.34171,0.99329,0.91045,0.44727,0.33553,0.34006,0.19961,1.2953,0.96906,0.90237,0.000440092,0.000440092,0.000440092
33,5289.14,1.34473,0.99247,0.91032,0.43729,0.33947,0.34195,0.20012,1.28749,0.9579,0.90108,0.000431256,0.000431256,0.000431256
34,5449.1,1.34159,0.98606,0.91005,0.43531,0.35021,0.34215,0.20053,1.28614,0.95804,0.89949,0.00042242,0.00042242,0.00042242
35,5609.09,1.33422,0.97902,0.90923,0.4475,0.34652,0.34404,0.20244,1.28639,0.95065,0.89881,0.000413584,0.000413584,0.000413584
36,5769.07,1.32861,0.97375,0.90805,0.45429,0.34138,0.34368,0.20292,1.28593,0.94821,0.89918,0.000404749,0.000404749,0.000404749
37,5928.56,1.32599,0.96885,0.90741,0.45185,0.35221,0.34942,0.20694,1.2795,0.9463,0.89799,0.000395913,0.000395913,0.000395913
38,6088.32,1.3188,0.96607,0.90579,0.44088,0.34635,0.34816,0.20444,1.28312,0.95286,0.89776,0.000387077,0.000387077,0.000387077
39,6247.96,1.31483,0.95871,0.90506,0.45146,0.34865,0.3515,0.20711,1.27775,0.94407,0.89747,0.000378242,0.000378242,0.000378242
40,6407.9,1.31841,0.9526,0.9047,0.4477,0.35387,0.35151,0.20812,1.27337,0.93972,0.89716,0.000369406,0.000369406,0.000369406
41,6567.59,1.31566,0.95044,0.90473,0.45783,0.35117,0.3558,0.20957,1.27112,0.93261,0.89604,0.00036057,0.00036057,0.00036057
42,6727.78,1.30868,0.94367,0.90322,0.45806,0.35428,0.35668,0.21043,1.27142,0.93483,0.89657,0.000351734,0.000351734,0.000351734
43,6887.95,1.31038,0.94387,0.90335,0.455,0.36174,0.35811,0.21144,1.26924,0.93329,0.89603,0.000342899,0.000342899,0.000342899
44,7048,1.30077,0.93269,0.90129,0.45397,0.35487,0.35617,0.2123,1.26837,0.93173,0.89573,0.000334063,0.000334063,0.000334063
45,7207.9,1.28959,0.92484,0.90005,0.45518,0.35942,0.35878,0.21303,1.26355,0.92954,0.89447,0.000325227,0.000325227,0.000325227
46,7367.86,1.29602,0.92677,0.90044,0.45336,0.35837,0.35892,0.21347,1.26395,0.92525,0.89515,0.000316391,0.000316391,0.000316391
47,7528.08,1.29771,0.92864,0.89949,0.45538,0.35671,0.36117,0.21434,1.26217,0.92532,0.89476,0.000307555,0.000307555,0.000307555
48,7687.69,1.2919,0.92324,0.89965,0.45932,0.35767,0.36124,0.21387,1.26279,0.92586,0.89454,0.00029872,0.00029872,0.00029872
49,7847.52,1.29041,0.91482,0.89848,0.46107,0.35844,0.36126,0.21502,1.26138,0.92332,0.89465,0.000289884,0.000289884,0.000289884
50,8007.39,1.28929,0.91526,0.89665,0.46223,0.35812,0.3647,0.21738,1.25798,0.91828,0.89347,0.000281048,0.000281048,0.000281048
51,8167.18,1.28641,0.91205,0.89803,0.47365,0.35855,0.36833,0.21884,1.25688,0.91344,0.89354,0.000272212,0.000272212,0.000272212
52,8327.08,1.28952,0.90978,0.89734,0.47538,0.35966,0.36789,0.21958,1.25476,0.91466,0.89268,0.000263377,0.000263377,0.000263377
53,8487.15,1.28387,0.90437,0.89587,0.47482,0.36108,0.36697,0.21863,1.25513,0.91421,0.89306,0.000254541,0.000254541,0.000254541
54,8646.75,1.27128,0.89306,0.89569,0.47193,0.36367,0.37113,0.22177,1.25141,0.91118,0.89225,0.000245705,0.000245705,0.000245705
55,8806.63,1.27346,0.89336,0.89369,0.47799,0.35736,0.36881,0.22031,1.25494,0.91309,0.89268,0.000236869,0.000236869,0.000236869
56,8966.79,1.27913,0.89668,0.89465,0.48138,0.36741,0.37104,0.22126,1.25405,0.90973,0.89292,0.000228034,0.000228034,0.000228034
57,9126.96,1.26805,0.88388,0.89431,0.47629,0.36602,0.37026,0.22154,1.25276,0.90988,0.89247,0.000219198,0.000219198,0.000219198
58,9287.04,1.26505,0.88406,0.8915,0.48283,0.36332,0.37188,0.22274,1.24701,0.90923,0.89157,0.000210362,0.000210362,0.000210362
59,9447.32,1.26694,0.88523,0.89281,0.47057,0.3673,0.37093,0.22243,1.24957,0.90845,0.89192,0.000201527,0.000201527,0.000201527
60,9607.51,1.2623,0.87589,0.89192,0.48426,0.36242,0.37353,0.22349,1.24794,0.9045,0.89142,0.000192691,0.000192691,0.000192691
61,9767.49,1.2643,0.87639,0.89222,0.48075,0.36563,0.37592,0.22308,1.24919,0.90444,0.8917,0.000183855,0.000183855,0.000183855
62,9927.36,1.26056,0.87176,0.89075,0.48037,0.36662,0.3755,0.22421,1.24739,0.90321,0.89129,0.000175019,0.000175019,0.000175019
63,10087.3,1.25639,0.87113,0.89061,0.47807,0.36645,0.37519,0.22394,1.24636,0.90419,0.89111,0.000166183,0.000166183,0.000166183
64,10247.1,1.24327,0.86022,0.88937,0.47883,0.36678,0.37453,0.2234,1.24626,0.90358,0.89091,0.000157348,0.000157348,0.000157348
65,10407.2,1.25316,0.86342,0.8893,0.48846,0.36291,0.37512,0.22407,1.2467,0.90136,0.89108,0.000148512,0.000148512,0.000148512
66,10567,1.25609,0.86173,0.89049,0.48591,0.36308,0.37511,0.22368,1.24634,0.90187,0.89064,0.000139676,0.000139676,0.000139676
67,10727.3,1.24671,0.85585,0.88937,0.47784,0.36489,0.37591,0.2238,1.24616,0.9008,0.89092,0.000130841,0.000130841,0.000130841
68,10887.2,1.24355,0.85257,0.88885,0.4735,0.36683,0.37443,0.22389,1.24726,0.90159,0.89113,0.000122005,0.000122005,0.000122005
69,11047.1,1.24621,0.85303,0.88984,0.48363,0.36613,0.3751,0.22394,1.24459,0.90016,0.89082,0.000113169,0.000113169,0.000113169
70,11207,1.23965,0.84831,0.88844,0.49307,0.36199,0.37555,0.22432,1.24523,0.89988,0.89012,0.000104333,0.000104333,0.000104333
71,11367.5,1.21939,0.82353,0.88671,0.47413,0.3691,0.37408,0.223,1.25128,0.90682,0.89156,9.54975e-05,9.54975e-05,9.54975e-05
72,11523.1,1.21338,0.81425,0.8855,0.47521,0.36988,0.37275,0.22221,1.25297,0.90488,0.89205,8.66618e-05,8.66618e-05,8.66618e-05
73,11678.8,1.2082,0.80888,0.88411,0.48129,0.36406,0.37342,0.22241,1.25249,0.90322,0.89188,7.7826e-05,7.7826e-05,7.7826e-05
74,11834.4,1.20778,0.80585,0.88375,0.47515,0.36583,0.37245,0.22261,1.24949,0.90319,0.89131,6.89903e-05,6.89903e-05,6.89903e-05
75,11989.7,1.20511,0.80252,0.884,0.47264,0.37072,0.37364,0.22263,1.24919,0.90296,0.89118,6.01545e-05,6.01545e-05,6.01545e-05
76,12145.1,1.20307,0.8009,0.88249,0.47587,0.37151,0.37319,0.2225,1.24841,0.90218,0.89107,5.13187e-05,5.13187e-05,5.13187e-05
77,12300.8,1.20068,0.79397,0.88188,0.474,0.37309,0.37335,0.22222,1.24873,0.90242,0.89098,4.2483e-05,4.2483e-05,4.2483e-05
