epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,482.516,1.57382,1.55637,1.07165,0.34362,0.29929,0.26702,0.15066,1.47112,1.27,1.0387,0.0902621,0.000249691,0.000249691
2,966.669,1.5224,1.35309,1.0498,0.43933,0.31443,0.28144,0.15595,1.53438,1.25552,1.05669,0.0805107,0.000498336,0.000498336
3,1476.1,1.51432,1.3024,1.0486,0.40728,0.34331,0.32635,0.1801,1.56976,1.20594,1.03948,0.0707539,0.000741582,0.000741582
4,2460.84,1.49379,1.26818,1.04087,0.44173,0.35001,0.35072,0.19364,1.56224,1.16257,1.02885,0.0609878,0.000975471,0.000975471
5,2942.5,1.48153,1.23612,1.03725,0.46215,0.37232,0.37077,0.20932,1.48308,1.10681,1.02061,0.0512086,0.00119621,0.00119621
6,4700.81,1.45844,1.19851,1.02691,0.4686,0.38183,0.37183,0.20689,1.49695,1.09306,1.02066,0.0414126,0.00140024,0.00140024
7,5289.55,1.4416,1.17105,1.02403,0.46919,0.39426,0.39062,0.22769,1.44048,1.07217,1.00467,0.0315966,0.00158428,0.00158428
8,6334.83,1.44902,1.16785,1.02085,0.47701,0.39696,0.39483,0.22346,1.4545,1.06075,1.00725,0.0217578,0.00174544,0.00174544
9,6801.5,1.43142,1.1368,1.01293,0.50122,0.39169,0.40201,0.23093,1.42995,1.03459,0.99952,0.0118936,0.00188124,0.00188124
10,7282.62,1.41278,1.11529,1.00859,0.48831,0.41083,0.41357,0.23893,1.40372,1.02224,0.98985,0.002002,0.00198964,0.00198964
11,7769.3,1.39943,1.08871,1.00395,0.50831,0.40632,0.42013,0.23962,1.43497,1.01619,0.99598,0.00188125,0.00188125,0.00188125
12,8225.42,1.39263,1.07392,1.0015,0.52537,0.4282,0.43633,0.24375,1.47101,1.00689,1.00442,0.00176584,0.00176584,0.00176584
13,8839.81,1.38119,1.05936,0.99843,0.51822,0.42748,0.43563,0.2539,1.38151,0.9877,0.98071,0.00164491,0.00164491,0.00164491
14,9335.92,1.37499,1.04725,0.99534,0.53223,0.42947,0.44429,0.25524,1.41154,0.97082,0.98597,0.00151979,0.00151979,0.00151979
15,9804.37,1.36226,1.01913,0.98956,0.53666,0.44351,0.45926,0.26682,1.38808,0.95214,0.98052,0.00139185,0.00139185,0.00139185
16,10271.2,1.35884,1.01357,0.98676,0.53386,0.44097,0.45437,0.26002,1.41904,0.95988,0.98501,0.0012625,0.0012625,0.0012625
17,10756.2,1.34445,0.99094,0.9831,0.55143,0.44611,0.47231,0.27568,1.36657,0.93084,0.97233,0.00113315,0.00113315,0.00113315
18,11242.6,1.33763,0.97802,0.98138,0.55264,0.45583,0.47155,0.26986,1.39885,0.94053,0.98069,0.00100521,0.00100521,0.00100521
19,11748.2,1.32829,0.97115,0.97729,0.56214,0.45773,0.4773,0.27681,1.37461,0.92644,0.975,0.000880091,0.000880091,0.000880091
20,12218.4,1.32492,0.95848,0.9776,0.54867,0.47007,0.48164,0.28087,1.37631,0.91634,0.97524,0.000759163,0.000759163,0.000759163
21,12626.2,1.27868,0.888,0.96656,0.56611,0.45349,0.47537,0.27688,1.38707,0.92608,0.97716,0.00064375,0.00064375,0.00064375
22,13020,1.27069,0.87457,0.96411,0.5782,0.45981,0.4855,0.2808,1.39132,0.91442,0.97772,0.000535116,0.000535116,0.000535116
23,13413,1.25876,0.85725,0.95884,0.5849,0.45517,0.48675,0.28193,1.38231,0.90726,0.97376,0.000434451,0.000434451,0.000434451
24,13807.8,1.25571,0.84841,0.95807,0.57824,0.45939,0.49016,0.28417,1.38557,0.90345,0.97611,0.000342858,0.000342858,0.000342858
25,14525.3,1.24765,0.8349,0.95522,0.57306,0.47371,0.49398,0.28677,1.37411,0.8993,0.97219,0.000261341,0.000261341,0.000261341
26,14915.3,1.23845,0.82545,0.9544,0.57462,0.47083,0.49248,0.28832,1.36471,0.89137,0.96833,0.000190794,0.000190794,0.000190794
27,15305.1,1.22622,0.81246,0.94885,0.5808,0.47015,0.49479,0.28936,1.37258,0.89327,0.97105,0.000131987,0.000131987,0.000131987
28,15697.3,1.22597,0.80747,0.94713,0.58047,0.46995,0.4951,0.28918,1.36928,0.88767,0.96939,8.55676e-05,8.55676e-05,8.55676e-05
29,16102.8,1.21977,0.8043,0.94754,0.59014,0.46758,0.49651,0.29078,1.36351,0.88667,0.96842,5.20423e-05,5.20423e-05,5.20423e-05
30,16498.1,1.21894,0.79989,0.94646,0.58787,0.46921,0.49663,0.29063,1.36479,0.88512,0.96853,3.17792e-05,3.17792e-05,3.17792e-05
