epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1857.58,2.7654,3.20991,1.89282,0.09173,0.16412,0.09407,0.04151,2.29998,2.45797,1.60505,0.090256,0.000249845,0.000249845
2,3986.24,2.11916,2.41431,1.45886,0.2351,0.17491,0.1438,0.07445,1.9325,2.11028,1.37926,0.0805047,0.00049849,0.00049849
3,5171.84,1.95111,2.14848,1.36682,0.25178,0.21682,0.18551,0.09908,1.82694,1.774,1.31712,0.0707479,0.000741734,0.000741734
4,5821.11,1.85571,1.975,1.31192,0.35652,0.26708,0.24109,0.13078,1.76361,1.63168,1.2703,0.0609818,0.000975622,0.000975622
5,7412.99,1.7908,1.84715,1.27759,0.33,0.28797,0.25801,0.13913,1.73767,1.56885,1.25723,0.0512025,0.00119636,0.00119636
6,8133.03,1.76167,1.78065,1.26196,0.34021,0.30024,0.25916,0.13983,1.71758,1.55973,1.24972,0.0414066,0.00140038,0.00140038
7,8831.24,1.70888,1.70402,1.23732,0.39989,0.32817,0.3126,0.17474,1.65164,1.44992,1.20655,0.0315906,0.00158442,0.00158442
8,11536.1,1.68566,1.65043,1.21906,0.39183,0.3317,0.31781,0.17983,1.61656,1.39142,1.20187,0.0217518,0.00174558,0.00174558
9,13318.6,1.6561,1.59801,1.20482,0.39643,0.35007,0.32965,0.18336,1.62373,1.37948,1.19808,0.0118875,0.00188137,0.00188137
10,14007.3,1.64592,1.56432,1.20318,0.42877,0.36708,0.35177,0.19741,1.61343,1.34168,1.1856,0.00199594,0.00198976,0.00198976
11,15185.9,1.61564,1.52001,1.19018,0.42887,0.37998,0.3615,0.20293,1.59374,1.33674,1.18236,0.00188125,0.00188125,0.00188125
12,15877,1.60011,1.48364,1.18206,0.46033,0.38004,0.3736,0.21063,1.582,1.29842,1.17061,0.00176584,0.00176584,0.00176584
13,16769,1.59652,1.47472,1.1796,0.46273,0.39067,0.38358,0.22005,1.55268,1.2784,1.15653,0.00164491,0.00164491,0.00164491
14,20182.3,1.57144,1.43132,1.16762,0.46756,0.39851,0.39381,0.22526,1.56547,1.26102,1.16107,0.00151979,0.00151979,0.00151979
15,20921.6,1.55585,1.39941,1.15827,0.47253,0.40762,0.40063,0.22895,1.55656,1.24881,1.15844,0.00139185,0.00139185,0.00139185
16,22287.8,1.51619,1.33224,1.14683,0.47626,0.40189,0.40115,0.2282,1.55982,1.24816,1.15535,0.0012625,0.0012625,0.0012625
17,22906.4,1.50115,1.29904,1.14003,0.49483,0.40025,0.40532,0.23026,1.56175,1.23708,1.15616,0.00113315,0.00113315,0.00113315
18,23603.9,1.49069,1.28522,1.1363,0.50697,0.40879,0.41876,0.24185,1.52992,1.21393,1.14711,0.00100521,0.00100521,0.00100521
19,26156.1,1.47927,1.25706,1.13001,0.51017,0.40711,0.42286,0.24168,1.54192,1.20987,1.14582,0.000880091,0.000880091,0.000880091
20,27520.2,1.47069,1.23891,1.12842,0.52026,0.41295,0.42768,0.24329,1.55262,1.20049,1.14993,0.000759163,0.000759163,0.000759163
21,28266.5,1.46249,1.21906,1.12244,0.51309,0.41598,0.43051,0.24567,1.54544,1.19495,1.147,0.00064375,0.00064375,0.00064375
